繁忙,1,培育,3
长,2,称为,1
的,30,重要,2
与此同时,1,以上,1
江,1,耕耘,1
累计,3,目前,1
万亿斤,1,抗病,2
大幅度,1,功勋,4
养分,1,0:00,3
生前,1,田野,1
夏玉米,1,0:00,2
”,12,西南,1
0:00,1,所,1
一度,1,日,3
系列,3,为端,1
其中,2,稳定,2
做到,1,亿亩,3
八,1,袁隆平,7
写,1,一生,2
印度河,1,1900/3/24  3,1
,15,产量,3
1900/3/22  12,1,一位,1
杂交稻,1,动力,1
扎实,1,下,2
规格,1,黄淮海,2
1900/3/24  5,1,致使,1
达到,1,中华民族,1
李,5,通过,2
.,6,培育出,1
周年,1,大,2
发明,1,全球,1
技术,4,获得者,4
成功,3,安全,1
相较,1,玉米,10
。,27,解决,2
提高,1,试种,1
周卫,1,五,2
说起,1,面积,4
首席,1,经过,1
又,1,岗位,1
是,3,连续,1
偃,3,成为,2
谷物,1,，,71
劳,2,问题,2
带领,2,超越,1
奖,3,高产,3
致力于,1,纪录,2
刷新,2,课题,1
东北,1,…,8
印尼,1,夏播,1
0:00,2,让,1
公斤,10,再,1
一派,1,如今,1
研究员,1,改良,1
李振声,8,供给,2
多达,1,三,1
把,1,攻破,1
亿公斤,2,章,2
更加,1,南方,1
地区,3,向上,1
我国,10,小,3
万公顷,1,三系法,1
1900/3/2  12,1,研究,5
号,1,带来,1
掖,1,1900/3/22  21,1
新品种,2,团队,4
精神,1,之父,4
荣誉,1,保障,1
科学,1,党和国家,1
一样,1,0:00,1
旗,1,第一个,3
为,3,0:00,2
华北,1,1900/1/29  4,2
并,1,0:00,3
1900/1/5  0,1,粮食安全,3
将,1,0:00,2
不断,1,开始,1
对抗,1,首创,1
常,1,几十年,1
种业,1,红,1
还有,1,“,12
杰出贡献,1,突出贡献,1
种植,8,随后,1
审定,1,紧凑型,4
之,1,突破,2
称号,1,一次次,1
世界纪录,1,多年,2
另,1,引进,1
耐,1,与,3
科学家,2,世界,4
颁授,1,1900/3/23  14,1
0:00,2,论文,1
0:00,1,愈发,1
获得,1,盐碱地,1
收获,2,在,14
0:00,7,国家,6
体系,3,矢志不渝,1
动,2,生产量,1
植保,1,年,8
1900/1/2  12,1,0:00,2
模范,3,助力,1
成立,1,难题,1
而,1,创造,1
英雄模范,2,金,1
闪亮,1,中,1
稻谷,2,1900/1/2  22,2
推广,4,多个,1
科技,1,绝对,1
两个,1,科研,4
深耕,1,到,4
稳,1,一,2
籼型,1,第一,1
专家,2,科学技术,1
一线,2,马铃薯,1
上,2,亿公顷,1
长期,1,创建,1
坚守,1,超过,3
一份,1,都,1
省级,1,最高,2
十八,1,大大提高,1
覆盖,1,为伴,1
1900/2/14  20,2,位,1
基础,1,个,1
贡献,1,法,1
远缘,2,乘凉,1
梦,2,秋粮,1
基本,1,继续,1
共和国,2,湄公河,1
1900/1/3  3,1,免疫力,1
农产品,1,接连,1
翻天覆地,1,失败,1
粮食产量,2,了,5
也,2,背后,1
减少,1,他,2
激励,1,依然,1
飘香,1,苏门答腊岛,1
交付,1,前行,2
海外,1,其他,1
勋章,2,育成,2
坐标,1,最美,2
来,1,中国,8
1900/2/2  8,1,应用,1
全国,4,领域,3
手,1,生产,2
喜悦,1,杂交,11
每,1,1900/1/25  18,1
陈万权,1,1900/3/23  21,1
和,7,0:00,3
以来,1,水稻,11
危机,1,品种,1
亩产,7,过程,1
、,18,口粮,1
育种,3,巴基斯坦,1
人,1,达,3
丰收,1,杂交种,2
平原,1,从,3
们,1,粮食,7
牢端,1,疾病,1
黎平,1,超级稻,1
于,2,北方,1
之前,1,依旧,1
路,1,畔,1
地上,1,良种,3
春,1,变化,1
稳健,1,禾,1
队伍,1,蔓延,1
被,2,除了,1
就是,1,管理,1
向,1,无私奉献,1
新,1,终于,1
离不开,1,月,2
面对,1,前夕,1
越南,1,增产,2
以,1,中国农科院,1
行业,1,特色,1
时节,1,发展,1
奋斗者,2,已,1
1900/2/10  16,2,率领,1
利于,1,作出,3
一半,1,小麦,12
叶子,1,―,2
；,4,单位,1
实验,2,饭碗,1
新品,1,不懈努力,1
0:00,1,决定,1
：,1,超级,1
现在,1,1900/3/21  12,1
领衔,1,疯狂,1
党,1,产业,2
数十个,1,密植,1
1900/1/1  5,2,单,1
景象,1,条锈病,1
两系,1,出,2
农业,2,登海,6
,,温饱,1
,,亿吨,1
,,一个,2
,,自给,1
,,游,1
,,一大批,1
,,新疆,1
,,金秋,1
,,被誉为,1
